"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Nova Scotia","2016A000212","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063422","4.2.3.2.1.1","39.1","","","","1"
"2024-01","Nova Scotia","2016A000212","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063530","4.2.3.6.1.1","171.5","","","","1"
"2024-01","Nova Scotia","2016A000212","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063557","4.2.3.7.1.1","60.4","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063414","4.3.2.2.1.1","36.6","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063522","4.3.2.6.1.1","158.2","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063549","4.3.2.7.1.1","64.0","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063423","4.3.3.2.1.1","34.7","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063531","4.3.3.6.1.1","161.5","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063558","4.3.3.7.1.1","56.5","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063417","4.6.2.2.1.1","6.5","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063525","4.6.2.6.1.1","9.7","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063552","4.6.2.7.1.1","3.9","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063426","4.6.3.2.1.1","4.4","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063534","4.6.3.6.1.1","10.0","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063561","4.6.3.7.1.1","3.8","","","","1"
"2024-01","New Brunswick","2016A000213","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063601","5.1.2.2.1.1","46.5","","","","1"
"2024-01","New Brunswick","2016A000213","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063709","5.1.2.6.1.1","149.8","","","","1"
"2024-01","New Brunswick","2016A000213","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063736","5.1.2.7.1.1","146.1","","","","1"
"2024-01","New Brunswick","2016A000213","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063610","5.1.3.2.1.1","44.4","","","","1"
