"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Newfoundland and Labrador","2016A000210","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057635","2.14.1.1","20.3","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057636","2.15.1.1","46.4","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057637","2.16.1.1","5.9","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057638","2.17.1.1","13.2","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057639","2.18.1.1","7.4","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057640","2.19.1.1","21.6","","","","1"
"2024-05","Prince Edward Island","2016A000211","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057641","3.1.1.1","91.5","","","","1"
"2024-05","Prince Edward Island","2016A000211","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057643","3.3.1.1","4.1","","","","1"
"2024-05","Prince Edward Island","2016A000211","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057644","3.4.1.1","2.2","","","","1"
"2024-05","Prince Edward Island","2016A000211","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057645","3.5.1.1","0.4","","","","1"
"2024-05","Prince Edward Island","2016A000211","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057646","3.6.1.1","8.3","","","","1"
"2024-05","Prince Edward Island","2016A000211","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057647","3.7.1.1","7.2","","","","1"
