"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","25.8","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","20.3","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","15.1","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","15 to 24 years","Percentage","242","units","0","v2583356","1.8.3.2.2","16.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","8.3","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","11.3","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","10.2","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","8.2","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 years and over","Percentage","242","units","0","v2583446","1.8.3.2.3","7.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","13.7","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","11.9","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Males","25 to 44 years","Percentage","242","units","0","v2583536","1.8.3.2.4","9.0","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","7.4","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Males","45 years and over","Percentage","242","units","0","v2583626","1.8.3.2.5","9.8","","","","1"
