"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-03","Nova Scotia","2016A000212","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063417","4.6.2.2.1.1","3.5","","","","1"
"2024-03","Nova Scotia","2016A000212","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063525","4.6.2.6.1.1","11.0","","","","1"
"2024-03","Nova Scotia","2016A000212","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063552","4.6.2.7.1.1","4.0","","","","1"
"2024-03","Nova Scotia","2016A000212","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063426","4.6.3.2.1.1","4.1","","","","1"
"2024-03","Nova Scotia","2016A000212","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063534","4.6.3.6.1.1","9.1","","","","1"
"2024-03","Nova Scotia","2016A000212","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063561","4.6.3.7.1.1","2.3","","","","1"
"2024-03","New Brunswick","2016A000213","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063601","5.1.2.2.1.1","47.1","","","","1"
"2024-03","New Brunswick","2016A000213","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063709","5.1.2.6.1.1","151.1","","","","1"
"2024-03","New Brunswick","2016A000213","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063736","5.1.2.7.1.1","146.4","","","","1"
"2024-03","New Brunswick","2016A000213","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063610","5.1.3.2.1.1","44.9","","","","1"
"2024-03","New Brunswick","2016A000213","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063718","5.1.3.6.1.1","151.2","","","","1"
"2024-03","New Brunswick","2016A000213","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063745","5.1.3.7.1.1","157.7","","","","1"
"2024-03","New Brunswick","2016A000213","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063602","5.2.2.2.1.1","29.9","","","","1"
"2024-03","New Brunswick","2016A000213","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063710","5.2.2.6.1.1","137.1","","","","1"
"2024-03","New Brunswick","2016A000213","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063737","5.2.2.7.1.1","53.7","","","","1"
"2024-03","New Brunswick","2016A000213","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063611","5.2.3.2.1.1","29.4","","","","1"
"2024-03","New Brunswick","2016A000213","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063719","5.2.3.6.1.1","128.2","","","","1"
"2024-03","New Brunswick","2016A000213","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063746","5.2.3.7.1.1","45.7","","","","1"
